regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,44.704,46.528,46.112,0.7719
pure,2,1,0.5,4.0,0,0,256,1024,640,47.425,50.944,49.151,0.4905
pure,2,1,0.5,4.0,0,0,512,2048,1280,54.273,62.818,56.64,0.277
pure,2,1,0.5,4.0,0,0,1024,4096,2560,69.124,88.704,75.295,0.3152
pure,2,1,0.5,4.0,0,0,2048,8192,5120,100.289,121.536,96.77,-0.1656
pure,2,1,0.5,4.0,0,0,4096,16384,10240,142.369,192.13,143.393,0.0206
mixed,2,1,0.5,4.0,16,0,128,512,320,37.473,51.682,51.359,0.9773
mixed,2,1,0.5,4.0,16,0,256,1024,640,59.969,84.288,84.256,0.9987
mixed,2,1,0.5,4.0,16,0,512,2048,1280,99.968,151.295,151.327,1.0006
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,183.967,284.671,284.034,0.9937
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,350.945,552.449,554.081,1.0081
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,686.018,1087.36,1090.18,1.007
mixed,2,1,0.5,4.0,16,512,128,512,320,51.84,52.736,51.903,0.0703
mixed,2,1,0.5,4.0,16,512,256,1024,640,59.49,84.609,84.097,0.9796
mixed,2,1,0.5,4.0,16,512,512,2048,1280,99.745,150.816,151.487,1.0131
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,183.871,284.48,284.576,1.001
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,351.777,551.968,553.824,1.0093
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,685.793,1088.16,1093.47,1.0132
mixed,2,1,0.5,4.0,16,1024,128,512,320,84.512,84.866,84.993,1.3588
mixed,2,1,0.5,4.0,16,1024,256,1024,640,85.281,85.889,85.025,-0.4211
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,99.776,151.297,150.814,0.9906
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,184.35,285.889,284.48,0.9861
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,351.552,553.344,554.943,1.0079
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,686.528,1088.1,1090.79,1.0067
mixed,2,1,0.5,4.0,16,2048,128,512,320,151.808,151.489,151.713,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,151.36,151.872,151.744,0.75
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,151.425,152.128,151.68,0.3627
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,185.376,284.737,283.774,0.9903
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,351.04,552.963,554.146,1.0059
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,685.056,1087.43,1090.4,1.0074
mixed,2,1,0.5,4.0,16,4096,128,512,320,285.919,287.136,285.793,-0.1035
mixed,2,1,0.5,4.0,16,4096,256,1024,640,285.216,286.815,285.408,0.1201
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,286.24,286.239,284.832,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,285.473,285.92,285.408,-0.1454
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,352.288,553.281,553.76,1.0024
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,686.72,1089.12,1088.06,0.9974
mixed,2,1,0.5,4.0,16,8192,128,512,320,556.896,556.739,556.514,
mixed,2,1,0.5,4.0,16,8192,256,1024,640,557.535,555.552,557.536,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,555.296,557.505,556.738,0.6528
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,556.129,556.483,554.402,-4.8785
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,552.511,552.287,557.826,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,685.216,1087.2,1089.38,1.0054
mixed,2,1,0.5,4.0,32,0,128,512,320,37.857,52.191,51.68,0.9644
mixed,2,1,0.5,4.0,32,0,256,1024,640,59.712,84.32,84.256,0.9974
mixed,2,1,0.5,4.0,32,0,512,2048,1280,100.096,151.01,150.879,0.9974
